code	lc	product_name_en	product_name_es	product_name_fr	product_name_pt	product_name_xx	generic_name_en	generic_name_es	quantity	serving_size	packaging	packaging_tags	brands	brands_tags	brand_owner	categories	categories_tags	labels	labels_tags	countries	countries_tags	stores	stores_tags	obsolete	obsolete_since_date	origins	origins_tags	origin_es	manufacturing_places	manufacturing_places_tags	emb_codes	emb_codes_tags	ingredients_text_en	ingredients_text_es	ingredients_text_fr	ingredients_text_pt	ingredients_text_xx	allergens	allergens_tags	traces	traces_tags	no_nutrition_data	nutrition_data_per	nutrition_data_prepared_per	energy-kj_value	energy-kj_unit	energy-kcal_value	energy-kcal_unit	fat_value	fat_unit	saturated-fat_value	saturated-fat_unit	carbohydrates_value	carbohydrates_unit	sugars_value	sugars_unit	fiber_value	fiber_unit	proteins_value	proteins_unit	salt_value	salt_unit	sodium_value	sodium_unit	alcohol_value	alcohol_unit	energy_value	energy_unit	alpha-linolenic-acid_value	alpha-linolenic-acid_unit	trans-fat_value	trans-fat_unit	cholesterol_value	cholesterol_unit	polyols_value	polyols_unit	vitamin-a_value	vitamin-a_unit	vitamin-c_value	vitamin-c_unit	potassium_value	potassium_unit	calcium_value	calcium_unit	iron_value	iron_unit	fruits-vegetables-nuts-estimate_value	fruits-vegetables-nuts-estimate_unit	packaging_1_number_of_units	packaging_1_shape	packaging_1_material	packaging_1_recycling	packaging_2_number_of_units	packaging_2_shape	packaging_2_material	packaging_2_recycling	packaging_3_shape	packaging_3_material	packaging_3_recycling	packaging_4_shape	packaging_4_material	packaging_4_recycling	link	off:food_groups	off:food_groups_tags	off:nova_groups	off:nova_groups_tags	off:nutriscore_grade	off:nutriscore_score	off:ecoscore_grade	off:ecoscore_score	off:ecoscore_data.missing_key_data	off:ecoscore_data.agribalyse.code	off:ecoscore_data.adjustments.origins_of_ingredients.value	off:ecoscore_data.adjustments.packaging.value	off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials	off:ecoscore_data.adjustments.production_system.value	off:ecoscore_data.adjustments.threatened_species.value	sources_fields:org-database-usda:available_date	sources_fields:org-database-usda:fdc_category	sources_fields:org-database-usda:fdc_data_source	sources_fields:org-database-usda:fdc_id	sources_fields:org-database-usda:modified_date	sources_fields:org-database-usda:publication_date	data_sources
8801055707867	fr			Nescafe												"Aliments et boissons à base de végétaux, Boissons, Aliments d'origine végétale, Cafés, Boissons instantanées, Cafés solubles"	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:coffees,en:instant-beverages,en:instant-coffees			Angola	en:angola			0																			100g	100g			87	kcal	2.2	g	2	g	16.5	g	11.6	g			0.3	g	0.3	g	0.12	g			87	kcal																																							unknown	unknown		e	-20	1	18005	-5	-15	1	0								App - yuka, Apps
8410128763909	en	Yogur Pascual Piña			Pascual Pineapple				125 g		Plastic pote	en:plastic-pote	Pascual	pascual		Dairies, Fermented foods, Fermented milk products, Desserts, Dairy desserts, Fermented dairy desserts, Yogurts	en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts			Angola	en:angola			0					Spain	spain	ES 15.00220/BU EC	es-15-00220-bu-ec	Pasteurised partially skimmed milk (89% milk, 2.5% fat), sugar, modified starch (E-1422), beef gelatin, milk proteins, flavouring, colours: curcumin (E-100) and carmines (E-120), and lactic cultures (milk)					Milk	en:milk	Milk	en:milk		100g	100g	379	kJ	85	kcal	1.8	g	1.3	g	14	g	12	g			3.2	g	0.11	g	0.044	g			379	kJ																							en:plastic												www.calidadpascual.com	en:milk-and-yogurt	en:milk-and-dairy-products,en:milk-and-yogurt	4	en:4-ultra-processed-food-and-drink-products	c	3	b	72		19593	-5	-10	1	0								App - Open Food Facts, Apps, App - Yuka
5608242245767	en	Orange			Nutry Orange Juice				200 ml		Multilayer-composite, Tetra Pak	en:multilayer-composite,en:tetra-pak	Nutry	nutry		Plant-based foods and beverages, Beverages, Plant-based beverages, Fruit-based beverages, Juices and nectars, Fruit nectars, Orange nectars	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:fruit-based-beverages,en:juices-and-nectars,en:fruit-nectars,en:orange-nectars			Angola	en:angola			0					Angola	angola			Water, orange juice from concentrate (40%), sugar, stabiliser: E466, flavouring, antioxidant: ascorbic acid, acid: citric acid, colour: beta-carotene.										100g	100g	142	kJ	33	kcal	0	g	0	g	7.6	g	7.5	g	0	g	0	g	0.02	g	0.008	g	0	% vol	142	kJ																			40	%		en:brick	en:tetra-pak												www.refriango.com	en:sweetened-beverages	en:beverages,en:sweetened-beverages	4	en:4-ultra-processed-food-and-drink-products	e	10	a	90		2375	-5	-4	0	0								App - yuka, Apps, App - Open Food Facts
410128763862	en								125g	100g	Plastic pot	en:plastic-pot	Pascual	pascual		Dairies, Fermented foods, Fermented milk products, Desserts, Dairy desserts, Fermented dairy desserts, Yogurts, Flavoured fermented dairy desserts, Flavoured yogurts	en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts,en:flavoured-fermented-dairy-desserts,en:flavoured-yogurts			Angola	en:angola			0									Pasteurised partially skimmed milk (89% milk, 2.5% fat), sugar, modified starch (E-1422), beef gelatin, milk proteins, flavouring colour: carotenes (E-160a) and lactic cultures (milk).					Milk	en:milk			off	100g	100g	379	kJ	90	kcal	2.2	g	1.6	g	14	g	12	g	0	g	3.5	g	0.11	g	0.044	g	0	% vol / *	379	kJ																						en:pot	en:plastic													en:milk-and-yogurt	en:milk-and-dairy-products,en:milk-and-yogurt	4	en:4-ultra-processed-food-and-drink-products	b	2	b	78		19575	-5	-10	1	0								App - Open Food Facts, Apps
5608242245750	pt				Nutry Mango				200ml	100ml	Tetra Pak	en:tetra-pak	Nutry	nutry		"Alimentos e bebidas à base de plantas, Bebidas, Bebidas à base de plantas, Bebidas à base de frutas, Sucos e néctares, Sumos de fruta, Sumos de fruta concentrados, Sumos de laranja, en:Orange juices from concentrate"	en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:fruit-based-beverages,en:juices-and-nectars,en:fruit-juices,en:fruit-juices-from-concentrate,en:orange-juices,en:orange-juices-from-concentrate			Angola	en:angola			0																		off	100g	100g	196	kJ	47	kcal	0	g	0	g	11.7	g	11.6	g	0.4	g	0.1	g	0.02	g	0.008	g	0	% vol / *	196	kJ																						en:brick	en:tetra-pak													en:fruit-juices	en:beverages,en:fruit-juices		unknown	c	5	a	91		2012	-5	-4	0	0								App - Open Food Facts, Apps
5608242245743	fr			Tutti Frutti Juice																Angola	en:angola			0																			100g	100g			37	kcal	0	g	0	g	8.6	g	8.5	g			0	g	0	g	0	g			37	kcal																																							unknown	unknown		unknown		1		-5	-15	1	0								App - yuka, Apps
5600786474115	en																			Angola	en:angola			0																																																																																			unknown	unknown		unknown		1		-5	-15	1	0								
0044000028541	en	Oreos, Double Stuf		oreo					435g	2 cookies (29 g) (29 g)			Nabisco	nabisco	Mondelez Int. US (0074819091009)	Snacks, Sweet snacks, Biscuits and cakes, Biscuits, Snacks  Snacks sucrés	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits,en:snacks-snacks-sucres			Angola, France, United States	en:angola,en:france,en:united-states			0									sugar, unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate {vitamin b1}, riboflavin {vitamin b2}, folic acid), palm and/or canola oil, cocoa (processed with alkali), high fructose corn syrup, leavening (baking soda and/or calcium phosphate), salt, soy lecithin, chocolate, artificial flavor,					Gluten, Soybeans	en:gluten,en:soybeans				100g	100g			483	kcal	24.14	g	6.9	g	72.41	g	44.83	g	0	g	3.45	g	775	mg	310	mg			483	kcal	6	% DV	0	g	0	mg			0	IU	0	mg	121	mg	34	mg	3.97	mg																		en:biscuits-and-cakes	en:sugary-snacks,en:biscuits-and-cakes	4	en:4-ultra-processed-food-and-drink-products	e	24	d	39	1	24000	-5	-15	1	0	-10	2018-05-02T00:00:00Z	Biscuits/Cookies	GDSN	764494	2018-04-05T00:00:00Z	2020-02-27T00:00:00Z	App - off, App - yuka, Apps, Databases, database-usda, App - InFood
6001065680934	fr			Dentyne sugarfree Gum					10		Conservar em lugar fresco e seco	fr:conservar-em-lugar-fresco-e-seco	strawberry	strawberry						Angola	en:angola	bem mequer euza cristina	bem-mequer-euza-cristina	0					mondelez	mondelez	3079422	3079422			"Per/Por 100 g Per 2 p Serving/Por 2 Unidades (2.8 g) 31 120 0.3 70.5 d which tol Sugor/dos quais Acúcares g) Glabykate/Hidratos de Corbonog) 20 Acucares which tad Plyos/dos quais Polis g 70.5 20 Tod Fat/Lipdos () 20 d which Saturted fot/dos quisSturado (o) 19 0.1 Dielary Fire/Fibra (g) Total Sadium/Sadio (mg) 14 80 2 AS CALCULATED/CALCULADO READY TO EAT/ PRONTO A COMER TYPICAL NUTRITIONAL INFORMATION /DECLARAÇÃO NUTRICIONAL"					Lait	en:milk	on	100g	100g																																																															unknown	unknown		unknown		1		-5	-15	1	0								
5602477823202	pt				Bolo de chocolate				450 g	100g	Papel	en:paper	Condi	condi		Lanches comida, Lanches doces, Biscoitos e Bolos, Bolos, Bolos de chocolate	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:chocolate-cakes			Angola	en:angola			0												Açúcar, farinha de trigo (glúten), cacau (6,7%), aroma, levedantes (bicarbonato de sódio e difosfato dissódico), emulsionante (xarope de glicose, farinha de soja, ésteres lácticos de mono e diglicéridos de ácidos gordos e ésteres de propilenoglicol de ácidos gordos), amido e sal. Pode conter leite.		Glúten	en:gluten				100g	100g			409	kcal	15	g	3.7	g	52	g	30	g	3.6	g	7	g	0.5	g	0.2	g			409	kcal																																				en:biscuits-and-cakes	en:sugary-snacks,en:biscuits-and-cakes	4	en:4-ultra-processed-food-and-drink-products	d	13	d	27	1	23585	-5	-15	1	0								
