code,product_name,countries_en,brands,abbreviated_product_name,generic_name,quantity,ecoscore_score,ecoscore_grade,nutrient_levels_tags,main_category_en,nutriscore_score,nutriscore_grade,nova_group,food_groups_en
3596710517510,Choco Stick chocolat au lait,"France,World",Auchan,Auchan choco stick chocolat lait 15,Bâtonnets de biscuits enrobés de chocolat au lait,0.115 kg,34.0,d,"en:fat-in-high-quantity,en:saturated-fat-in-high-quantity,en:sugars-in-high-quantity,en:salt-in-low-quantity",Stick biscuits covered with chocolate,22.0,e,4.0,"Sugary snacks,Biscuits and cakes"
3596710517527,Fromage à tartiner ail et fines herbes,"France,World",Pouce,Pouce fromage a tartiner ail et fin,Fromage à tartiner à l'ail et aux fines herbes,0.15 kg,,unknown,,,,unknown,,
3596710517534,AUCHAN Noir praliné et éclats de nougatine 150g,"France,World","Auchan, Auchan Gourmet",Auchan gourmet choco nr praline pep,Chocolat noir fourrage (48%) au praliné et aux éclats de noisettes caramélisés,0.15 kg,15.0,e,"en:fat-in-high-quantity,en:saturated-fat-in-high-quantity,en:sugars-in-high-quantity,en:salt-in-low-quantity",Dark chocolates,21.0,e,4.0,"Sugary snacks,Chocolate products"
3596710517640,Epinards en branches en portions,"France,World",Auchan,Auchan epinards branches en portion,"Epinards en branches, en portions, surgelés",1 kg,,unknown,,,,unknown,,
3596710517657,AUCHAN Lait façon rocher,"France,World",Auchan,Auchan gou chocolat lait facon roch,Chocolat supérieur au lait (52%) fourrage au praliné et aux éclats de noisettes caramélisées (48%),0.15 kg,18.0,e,"en:fat-in-high-quantity,en:saturated-fat-in-high-quantity,en:sugars-in-high-quantity,en:salt-in-low-quantity",Milk chocolates,24.0,e,4.0,"Sugary snacks,Chocolate products"
3596710517664,Cannelloni au boeuf,"France,World",Auchan,Auchan cannelloni a la sauce italie,Cannelloni au bœuf et sauce à la tomate et au bœuf aromatisée,0.4 kg,32.0,d,"en:fat-in-moderate-quantity,en:saturated-fat-in-low-quantity,en:sugars-in-low-quantity,en:salt-in-moderate-quantity",Bolognese Cannelloni,2.0,b,4.0,"Composite foods,One-dish meals"
3596710517671,Cannelloni au bœuf,"France,World",Auchan,Auchan cannelloni a la sauce italie,Cannelloni au bœuf et sauce à la tomate et au bœuf aromatisée,0.8 kg,32.0,d,"en:fat-in-moderate-quantity,en:saturated-fat-in-low-quantity,en:sugars-in-low-quantity,en:salt-in-moderate-quantity",Beef Cannelloni,2.0,b,4.0,"Composite foods,One-dish meals"
3596710517688,Ravioli Bolognaise,"France,World",Auchan,Auchan ravioli bolognaise boite 1/2,"Ravioli farci au boeuf et sauce à la tomate et au porc, aromatisée boeuf",0.4 kg,,unknown,"en:fat-in-moderate-quantity,en:saturated-fat-in-low-quantity,en:sugars-in-low-quantity,en:salt-in-moderate-quantity",Canned raviolis,2.0,b,4.0,"Composite foods,One-dish meals"
3596710517695,Ravioli Bolognaise,"France,World",Auchan,Auchan ravioli bolognaise boite 4/4,Ravioli farci au boeuf et sauce à la tomate et au porc aromatisée boeuf,0.8 kg,,unknown,"en:fat-in-moderate-quantity,en:saturated-fat-in-low-quantity,en:sugars-in-low-quantity,en:salt-in-moderate-quantity",Canned raviolis,2.0,b,4.0,"Composite foods,One-dish meals"
3596710517701,Galette courgette emmental,"France,World","Auchan, Auchan Bio, Veggie",Auchan bio envie de veggie galette,"Spécialité végétarienne à base de riz et de fromage, issue de l'agriculture biologique.Production certifiée par ES-ECO-019-CT et distribution certifiée par FR-BIO-01",0.2 kg,58.0,c,"en:fat-in-moderate-quantity,en:saturated-fat-in-moderate-quantity,en:sugars-in-low-quantity,en:salt-in-moderate-quantity",Puffed rice cakes,2.0,b,3.0,"Cereals and potatoes,Cereals"
3596710517718,Galettes boulgour legumes,"France,World","Auchan,Auchan Bio, Veggie",Auchan bio envie de veggie galette,"Spécialité végétale à base de blé, issue de l'agriculture biologique.Production certifiée par ES-ECO-019-CT et distribution certifiée par FR-BIO-01",0.2 kg,79.0,b,"en:fat-in-moderate-quantity,en:saturated-fat-in-low-quantity,en:sugars-in-low-quantity,en:salt-in-moderate-quantity",Cereals and vegetables patties,-1.0,a,3.0,
3596710517749,Bloc de foie gras de canard,"France,World",Auchan,Auchan bloc de foie gras de canard,Bloc de foie gras de canard,0.19 kg,6.0,e,"en:fat-in-high-quantity,en:saturated-fat-in-high-quantity,en:sugars-in-low-quantity,en:salt-in-moderate-quantity",Foies gras from ducks,20.0,e,3.0,"Salty snacks,Salty and fatty products"
3596710517756,Fourme d'Ambert,"France,World","Auchan, Terroir",Auchan terroir fourme d'ambert aop,Fourme d'Ambert Appellation d'Origine Protégée,0.2 kg,70.0,b,"en:fat-in-high-quantity,en:saturated-fat-in-high-quantity,en:sugars-in-low-quantity,en:salt-in-high-quantity",Fourme d'Ambert cheese from cow's milk,17.0,d,3.0,"Milk and dairy products,Cheese"
3596710517787,Barres chocolat au lait pop corn,"France,World",Auchan,Auchan barres pop corn chocolat au,"Barres de céréales au chocolat au lait, popcorn et bretzel",0.084 kg,,unknown,"en:fat-in-moderate-quantity,en:saturated-fat-in-moderate-quantity,en:sugars-in-high-quantity,en:salt-in-moderate-quantity",Bars,9.0,c,4.0,"Sugary snacks,Biscuits and cakes"
3596710517794,Barres cacahuètes pop corn,"France,World",Auchan,AUCHAN BARRES POP CORN CACAHUETES x,"Barres de céréales au lait, cacahuètes et pop corn",0.084 kg,,unknown,"en:fat-in-moderate-quantity,en:saturated-fat-in-high-quantity,en:sugars-in-high-quantity,en:salt-in-moderate-quantity",Bars,12.0,d,4.0,"Sugary snacks,Biscuits and cakes"
3596710517848,Mini Cakes aux pépites de chocolat,"France,World","Auchan, Santé",Auchan sans gluten mini cakes aux p,Gâteaux aux pépites de chocolat sans gluten,0.23 kg,,unknown,"en:fat-in-high-quantity,en:saturated-fat-in-moderate-quantity,en:sugars-in-high-quantity,en:salt-in-moderate-quantity",Cakes,16.0,d,4.0,"Sugary snacks,Biscuits and cakes"
3596710517879,Auchan café en dosettes noisette x32 224g,France,Auchan,Auchan café en dosettes noisette x3,Auchan café en dosettes noisette x32 224g,0.224 kg,,unknown,,,,unknown,,
3596710517886,Auchan café en dosettes saveur caramel x32 224g,France,Auchan,Auchan café en dosettes saveur cara,Auchan café en dosettes saveur caramel x32 224g,0.224 kg,,unknown,,,,unknown,,
3596710517893,Saveur vanille,France,Auchan,Auchan cafe dosettes saveur vanille,Dosettes souples café moulu arabica aromatisé saveur vanille. Intensité 5/10.,0.224 kg,,unknown,,,,unknown,4.0,
3596710517909,"CORDON BLEU DINDE 2 fromages emmental, bleu","France,World",Auchan,Auchan cordon bleu de dinde aux deu,"Préparation à base de viande de dinde traitée en salaison et aromatisée, garnie d'une tranche de jambon de dinde cuit standard et d'une tranche de fromage fondu à l'emmental et au bleu, panée, frite et cuite.",0.2 kg,17.0,e,"en:fat-in-moderate-quantity,en:saturated-fat-in-moderate-quantity,en:sugars-in-low-quantity,en:salt-in-moderate-quantity",Turkey cordons bleus,3.0,c,4.0,
3596710517916,Serpentini cuisson express 3 min,"France,World",Auchan,Auchan serpentini cuisson rapide 50,Pâtes alimentaires de qualité supérieure,0.5 kg,60.0,b,"en:fat-in-low-quantity,en:saturated-fat-in-low-quantity,en:sugars-in-low-quantity,en:salt-in-low-quantity",Dry pastas,-4.0,a,1.0,"Cereals and potatoes,Cereals"
3596710517923,Pipe rigate cuisson express 3 min,"France,World",Auchan,Auchan coudes rayes cuisson rapide,Pâtes alimentaires de qualité supérieure,0.5 kg,60.0,b,"en:fat-in-low-quantity,en:saturated-fat-in-low-quantity,en:sugars-in-low-quantity,en:salt-in-low-quantity",Dry pastas,-4.0,a,1.0,"Cereals and potatoes,Cereals"
3596710517930,Macaroni Cuisson Express 3 min,"France,World",Auchan,Auchan macaroni cuisson rapide 500g,Pâtes alimentaires de qualité supérieure,0.5 kg,60.0,b,"en:fat-in-low-quantity,en:saturated-fat-in-low-quantity,en:sugars-in-low-quantity,en:salt-in-low-quantity",Durum wheat pasta,-4.0,a,1.0,"Cereals and potatoes,Cereals"
3596710518005,Ail en semoule,"France,World",Auchan,Auchan ail semoule 55g,Ail semoule déshydraté,0.055 kg,,unknown,,,,unknown,,
3596710518012,Poivre noir moulu,"France,World",Auchan,Auchan poivre noir moulu 38g,Poivre noir moulu,0.038 kg,2.0,e,,Ground black peppers,,not-applicable,1.0,
3596710518029,Paprika Doux,"France,World",Auchan,Auchan paprika 40g,Paprika,0.04 kg,2.0,e,,Paprika,,not-applicable,1.0,
3596710518036,Curry,"France,World",Auchan,Auchan curry 42g,Mélange d'épices et de plantes aromatiques,0.042 kg,2.0,e,,Curry powder,,not-applicable,1.0,
3596710518043,Poivre gris moulu,"France,World",Auchan,Auchan poivre gris moulu 36g,Poivre noir moulu,0.036 kg,2.0,e,,Grounded grey peppers,,not-applicable,1.0,
3596710518050,Ciboulette,"France,World",Auchan,Auchan ciboulette 5g,Ciboulette hachée déshydratée,0.005 kg,,unknown,,Chives,,not-applicable,1.0,
3596710518067,Échalote Flocons,"France,World",Auchan,Auchan echalote flocons 28g,Echalote en flocons déshydratée,0.028 kg,,unknown,,,,unknown,,
3596710518074,Origan,"France,World",Auchan,Auchan origan 9g,Origan haché déshydraté,0.009 kg,43.0,c,,Oregano,,not-applicable,1.0,
3596710518081,Oignon flocons,"France,World",Auchan,Auchan oignon flocons 30g,Oignon flocons déshydraté,0.03 kg,,unknown,,,,unknown,,
3596710518098,Persil,"France,World",Auchan,Auchan persil 6g,Persil haché déshydraté,0.006 kg,71.0,b,,Parsley,,not-applicable,1.0,
3596710518104,Basilic,"France,World",Auchan,Auchan basilic 12g,Basilic haché déshydraté,0.012 kg,75.0,b,,Basil,,not-applicable,1.0,
3596710518111,Curcuma moulu,"France,World",Auchan,Auchan curcuma moulu 37g,Curcuma moulu déshydraté,0.037 kg,2.0,e,,Turmeric powder,,not-applicable,1.0,
3596710518128,Herbes de Provence,"France,World",Auchan,Auchan herbes de provence 18 g,Mélange de plantes aromatiques déshydratées,0.018 kg,43.0,c,,Herbes de Provence,,unknown,1.0,
3596710518135,Cannelle moulue,"France,World",Auchan,Auchan cannelle moulue 32g,Cannelle moulue,0.032 kg,2.0,e,,Cinnamon powder,,not-applicable,1.0,
3596710518142,Muscade moulue,"France,World",Auchan,Auchan muscade moulue 32g,Muscade moulue,0.032 kg,,unknown,,,,unknown,,
3596710518159,Poivre blanc moulu,"France,World",Auchan,Auchan poivre blanc moulu 36g,Poivre blanc moulu,0.036 kg,2.0,e,,Ground white peppers,,not-applicable,1.0,
3596710518166,Thym,"France,World",Auchan,Auchan thym 14g,Thym haché déshydraté,0.014 kg,75.0,b,,Thyme,,not-applicable,1.0,
3596710518173,Cumin moulu,"France,World",Auchan,Auchan cumin moulu 32g,Cumin moulu,0.032 kg,2.0,e,,Ground cumin seedskumin,,not-applicable,1.0,
3596710518180,Gingembre moulu,"France,World",Auchan,Auchan gingembre moulu 27g,Gingembre moulu déshydraté,0.027 kg,75.0,b,,Ginger powder,,not-applicable,1.0,
3596710518197,Piment doux (moulu ),"France,World",Auchan,Auchan piment doux moulu 40g,Piment doux moulu,0.04 kg,,unknown,,,,unknown,,
3596710518203,Clous de girofle,"France,World",Auchan,Auchan clous de girofle 23g,Clous de girofle,0.023 kg,2.0,e,,Cloves,,not-applicable,1.0,
3596710518210,Assaisonnement persillade,"France,World",Auchan,Auchan assaisonnement persillade de,Assaisonnement à base d'épices et herbes déshydratées,0.04 kg,,unknown,,Herbs,,not-applicable,3.0,
3596710518227,Piment de Cayenne,"France,World",Auchan,Auchan piment de cayenne moulu 38g,Piment fort moulu,0.038 kg,2.0,e,,Cayenne peppers,,not-applicable,1.0,
3596710518234,Aneth,"France,World",Auchan,Auchan aneth 12g,Aneth haché déshydraté,0.012 kg,75.0,b,,Dill,,not-applicable,1.0,
3596710518241,Ras el Hanout,"France,World",Auchan,Auchan ras el hanout 38g,Mélange à base d'épices,0.038 kg,,unknown,,Ras el hanout,,unknown,3.0,
3596710518258,Estragon,"France,World",Auchan,Auchan estragon 7g,Estragon haché déshydraté,0.007 kg,76.0,b,,Tarragon,,not-applicable,1.0,
3596710518265,Fines herbes,"France,World",Auchan,Auchan fines herbes 10g,Mélange de plantes aromatiques,0.01 kg,,unknown,,,,unknown,,
3596710518272,Safran moulu,"France,World",Auchan,Auchan safran 3 doses 0.3g,Safran moulu,0.03 kg,,unknown,,,,unknown,4.0,
3596710518333,Anis étoilé,"France,World",Auchan,Auchan anis etoile 14g,Anis étoilé,0.014 kg,79.0,b,,Star anise,,not-applicable,1.0,"Beverages,Unsweetened beverages"
3596710518340,Cannelle en bâton,"France,World",Auchan,Auchan cannelle baton 10 g,Cannelle en bâton,0.01 kg,,unknown,,,,unknown,,
3596710518357,4 épices,"France,World",Auchan,Auchan 4 epices 35g,Mélange d'épices,0.035 kg,,unknown,,,,unknown,,
3596710518364,Noix de muscade Ducros entière,"France,World",Auchan,Auchan muscade noix 18 g,Noix de muscade,0.018 kg,74.0,b,,Nutmeg,,not-applicable,1.0,
3596710518371,Graines de cumin,"France,World",Auchan,Auchan cumin graines 35 g,Graines de cumin,0.035 kg,2.0,e,,Whole cumin seeds,,not-applicable,1.0,
3596710518388,Graines de fenouil,"France,World",Auchan,Auchan fenouil graines 30g,Graines de fenouil,0.03 kg,35.0,d,,Fennel seeds,,not-applicable,1.0,"Beverages,Unsweetened beverages"
3596710518395,Baies de genièvre,"France,World",Auchan,Auchan genievre baies 28g,Baies de genièvre,0.028 kg,,unknown,,,,unknown,,
3596710518401,Baies roses,"France,World",Auchan,Auchan baies roses 20g,Baies roses,0.02 kg,,unknown,,,,unknown,,
3596710518418,Graines de coriandre,"France,World",Auchan,Auchan coriandre graines 22g,Graines de coriandre,0.022 kg,47.0,c,,Coriander seeds,,not-applicable,1.0,"Beverages,Unsweetened beverages"
3596710518708,Riz basmati,"France,World",Auchan,Auchan riz basmati 500g,Riz Basmati de Qualité Supérieure,0.5 kg,-2.0,e,"en:fat-in-low-quantity,en:saturated-fat-in-low-quantity,en:sugars-in-low-quantity,en:salt-in-low-quantity",Basmati rices,-3.0,a,,"Cereals and potatoes,Cereals"
3596710518715,Riz basmati,"France,World",Auchan,Auchan riz basmati 1 kg,Riz Basmati de Qualité Supérieure,1 kg,-2.0,e,"en:fat-in-low-quantity,en:saturated-fat-in-low-quantity,en:sugars-in-low-quantity,en:salt-in-low-quantity",Basmati rices,-3.0,a,,"Cereals and potatoes,Cereals"
3596710518722,Raclette,"France,World",Pouce,Pouce raclette nature 2*400g,Raclette,0.8 kg,34.0,d,"en:fat-in-high-quantity,en:saturated-fat-in-high-quantity,en:sugars-in-low-quantity,en:salt-in-high-quantity",Raclette,16.0,d,3.0,"Milk and dairy products,Cheese"
3596710518739,Fromage à raclette,"France,World",Pouce,Pouce raclette nature 400g,Raclette,0.4 kg,34.0,d,"en:fat-in-high-quantity,en:saturated-fat-in-high-quantity,en:sugars-in-low-quantity,en:salt-in-high-quantity",Raclette,16.0,d,3.0,"Milk and dairy products,Cheese"
3596710518746,Taboulé,"France,World",Auchan,Auchan taboule etui 730g,Taboulé,0.73 kg,75.0,b,"en:fat-in-low-quantity,en:saturated-fat-in-low-quantity,en:sugars-in-low-quantity,en:salt-in-moderate-quantity",Tabbouleh,-2.0,a,3.0,"Composite foods,One-dish meals"
3596710518760,Calzone bolognaise,"France,World",Auchan,Auchan calzone bolognaise,"Calzone Bolognaise garnie de préparation de viande de boeuf cuite, de tomate et d'un assaisonnement en poudre goût bolognaise.",0.38 kg,,unknown,"en:fat-in-moderate-quantity,en:saturated-fat-in-moderate-quantity,en:sugars-in-low-quantity,en:salt-in-moderate-quantity",it:Calzone,9.0,c,4.0,"Composite foods,Pizza pies and quiches"
